GOLD,id,BRONZE,SILVER,PLATINUM,PURCHASED,collection_id
216,1017439,76,132,328,Silver,v_quotes
230,1011372,80,140,350,Silver,v_quotes
101,101770,36,62,153,Silver,v_quotes
84,10192,29,51,128,Silver,v_quotes
243,1019311,93,153,363,Silver,v_quotes
225,1017853,85,141,337,Silver,v_quotes
209,1014488,69,125,321,Silver,v_quotes
230,1019623,80,140,350,Silver,v_quotes
101,101246,36,62,153,Silver,v_quotes
240,1018382,90,150,360,Silver,v_quotes
223,1018148,73,133,343,Silver,v_quotes
230,1014852,80,140,350,Silver,v_quotes
225,1012287,75,135,345,Silver,v_quotes
209,1019430,69,125,321,Silver,v_quotes
225,1011879,75,135,345,Silver,v_quotes
260,1019151,110,170,380,Silver,v_quotes
240,1013803,90,150,360,Silver,v_quotes
228,1012704,78,138,348,Silver,v_quotes
223,1016950,73,133,343,Silver,v_quotes
230,1014474,80,140,350,Silver,v_quotes
223,1015644,73,133,343,Silver,v_quotes
250,1015363,100,160,370,Silver,v_quotes
228,1010905,78,138,348,Silver,v_quotes
220,1014551,70,130,340,Silver,v_quotes
220,1013660,70,130,340,Silver,v_quotes
206,1015042,66,122,318,Silver,v_quotes
215,1014859,65,125,335,Silver,v_quotes
206,1011220,66,122,318,Silver,v_quotes
230,1018673,80,140,350,Silver,v_quotes
223,1014115,73,133,343,Silver,v_quotes
223,1014324,73,133,343,Silver,v_quotes
112,101025,47,73,164,Silver,v_quotes
220,1013632,70,130,340,Silver,v_quotes
214,1013144,74,130,326,Silver,v_quotes
220,1015740,70,130,340,Silver,v_quotes
220,1011631,70,130,340,Silver,v_quotes
225,1019818,75,135,345,Silver,v_quotes
228,1013237,78,138,348,Silver,v_quotes
117,101428,52,78,169,Silver,v_quotes
223,1019715,73,133,343,Silver,v_quotes
223,1019540,73,133,343,Silver,v_quotes
230,1010099,80,140,350,Silver,v_quotes
209,1016566,69,125,321,Silver,v_quotes
228,1012224,78,138,348,Silver,v_quotes
230,1016833,80,140,350,Silver,v_quotes
220,1013616,70,130,340,Silver,v_quotes
260,1014219,110,170,380,Silver,v_quotes
82,1012,32,52,122,Silver,v_quotes
220,1017334,70,130,340,Silver,v_quotes
223,1017649,73,133,343,Silver,v_quotes
111,101537,46,72,163,Silver,v_quotes
209,1014615,69,125,321,Silver,v_quotes
228,1011934,78,138,348,Silver,v_quotes
214,1017399,74,130,326,Silver,v_quotes
230,1018131,80,140,350,Silver,v_quotes
225,1015889,75,135,345,Silver,v_quotes
211,1012758,71,127,323,Silver,v_quotes
228,1015031,78,138,348,Silver,v_quotes
98,101922,33,59,150,Silver,v_quotes
228,1012860,78,138,348,Silver,v_quotes
230,1015942,80,140,350,Silver,v_quotes
250,1018615,100,160,370,Silver,v_quotes
223,1014586,73,133,343,Silver,v_quotes
223,1015941,73,133,343,Silver,v_quotes
246,1017471,106,162,358,Silver,v_quotes
220,1012288,70,130,340,Silver,v_quotes
220,1014937,70,130,340,Silver,v_quotes
98,101170,33,59,150,Silver,v_quotes
134,101029,69,95,186,Silver,v_quotes
214,1018572,74,130,326,Silver,v_quotes
228,1014889,78,138,348,Silver,v_quotes
236,1016421,86,146,356,Silver,v_quotes
220,1016745,70,130,340,Silver,v_quotes
220,1015922,70,130,340,Silver,v_quotes
206,1011281,66,122,318,Silver,v_quotes
209,1019033,69,125,321,Silver,v_quotes
235,1018483,85,145,355,Silver,v_quotes
235,1010521,85,145,355,Silver,v_quotes
211,1016694,71,127,323,Silver,v_quotes
236,1011188,96,152,348,Silver,v_quotes
220,1019103,70,130,340,Silver,v_quotes
226,1013729,86,142,338,Silver,v_quotes
243,1015477,93,153,363,Silver,v_quotes
220,1018113,70,130,340,Silver,v_quotes
216,1017222,76,132,328,Silver,v_quotes
206,1019639,66,122,318,Silver,v_quotes
106,101260,41,67,158,Silver,v_quotes
214,1015081,74,130,326,Silver,v_quotes
225,1019947,75,135,345,Silver,v_quotes
96,101432,31,57,148,Silver,v_quotes
214,1014141,74,130,326,Silver,v_quotes
230,1013312,80,140,350,Silver,v_quotes
235,1010336,85,145,355,Silver,v_quotes
216,1018878,76,132,328,Silver,v_quotes
243,1012706,93,153,363,Silver,v_quotes
221,1013594,81,137,333,Silver,v_quotes
228,1013400,78,138,348,Silver,v_quotes
233,1015598,83,143,353,Silver,v_quotes
223,1011205,73,133,343,Silver,v_quotes
206,1018282,66,122,318,Silver,v_quotes
225,1010675,75,135,345,Silver,v_quotes
240,1011706,90,150,360,Silver,v_quotes
223,1010898,73,133,343,Silver,v_quotes
235,1011974,85,145,355,Silver,v_quotes
220,1012064,70,130,340,Silver,v_quotes
223,1016253,73,133,343,Silver,v_quotes
228,1017721,78,138,348,Silver,v_quotes
240,1018459,90,150,360,Silver,v_quotes
223,1013786,73,133,343,Silver,v_quotes
230,1019840,80,140,350,Silver,v_quotes
228,1011471,78,138,348,Silver,v_quotes
228,1017776,78,138,348,Silver,v_quotes
216,1018392,76,132,328,Silver,v_quotes
220,1019578,70,130,340,Silver,v_quotes
240,1013109,90,150,360,Silver,v_quotes
233,1010837,83,143,353,Silver,v_quotes
240,1010446,90,150,360,Silver,v_quotes
235,1013038,85,145,355,Silver,v_quotes
118,101648,53,79,170,Silver,v_quotes
96,101388,31,57,148,Silver,v_quotes
235,1011301,85,145,355,Silver,v_quotes
211,1011958,71,127,323,Silver,v_quotes
228,1012277,78,138,348,Silver,v_quotes
206,1019438,66,122,318,Silver,v_quotes
223,1011754,73,133,343,Silver,v_quotes
230,1016128,80,140,350,Silver,v_quotes
230,1018083,80,140,350,Silver,v_quotes
117,101120,52,78,169,Silver,v_quotes
220,1011681,70,130,340,Silver,v_quotes
228,1014086,78,138,348,Silver,v_quotes
228,1010079,78,138,348,Silver,v_quotes
236,1017995,96,152,348,Silver,v_quotes
220,1013966,70,130,340,Silver,v_quotes
211,1010826,71,127,323,Silver,v_quotes
216,1012209,76,132,328,Silver,v_quotes
209,1013275,69,125,321,Silver,v_quotes
214,1010107,74,130,326,Silver,v_quotes
225,1012934,75,135,345,Silver,v_quotes
112,101401,47,73,164,Silver,v_quotes
223,1018923,73,133,343,Silver,v_quotes
228,1017959,78,138,348,Silver,v_quotes
220,1017596,70,130,340,Silver,v_quotes
216,1014750,76,132,328,Silver,v_quotes
103,101831,38,64,155,Silver,v_quotes
235,1012626,85,145,355,Silver,v_quotes
230,1014500,80,140,350,Silver,v_quotes
220,1017464,70,130,340,Silver,v_quotes
228,1019722,78,138,348,Silver,v_quotes
230,1010968,80,140,350,Silver,v_quotes
223,1016776,73,133,343,Silver,v_quotes
216,1014283,76,132,328,Silver,v_quotes
126,101352,61,87,178,Silver,v_quotes
225,1016984,75,135,345,Silver,v_quotes
101,101409,36,62,153,Silver,v_quotes
225,1010504,75,135,345,Silver,v_quotes
206,1012292,66,122,318,Silver,v_quotes
235,1015433,85,145,355,Silver,v_quotes
230,1018167,80,140,350,Silver,v_quotes
240,1010632,90,150,360,Silver,v_quotes
235,1015115,85,145,355,Silver,v_quotes
223,1010261,73,133,343,Silver,v_quotes
89,10162,34,56,133,Silver,v_quotes
226,1010283,86,142,338,Silver,v_quotes
220,1011489,70,130,340,Silver,v_quotes
225,1016818,75,135,345,Silver,v_quotes
206,1013134,66,122,318,Silver,v_quotes
216,1019011,76,132,328,Silver,v_quotes
225,1016557,75,135,345,Silver,v_quotes
226,1018882,86,142,338,Silver,v_quotes
220,1015814,70,130,340,Silver,v_quotes
211,1013951,71,127,323,Silver,v_quotes
225,1018464,75,135,345,Silver,v_quotes
